0,1
Nancy驚狗。,Nancy怕狗。
你想唔想露隻耳仔出嚟呀？,你想把耳朵露出來嗎？
嗰間舖頭有好多人幫襯。,那家店有很多客人。
呢個價包唔包埋湯同沙律㗎？,這個價錢包括湯和沙拉了嗎？
喺個天度望落嚟，呢條河好似一條巨蛇。,從天上看下來，這條河像一條巨蛇。
今日有啲凍。,今天有點冷。
我喺屋企。,我在家。
因為一分鐘就差唔多要四鎊。,因爲僅一分鐘就要差不多花費4鎊。
佢塊面圓碌碌。,她有張圓臉。
呢幅畫遠睇會靚啲。,這幅畫遠看更好。
佢用條繩將個包裹綁到實一實。,她用繩子把包裹緊緊綁好了。
佢急急腳噉走咗。,他匆忙地走了。
佢差唔多有六呎高。,他差不多有六呎高。
呢個引擎最食油。,這個引擎耗用最多的油。
唔好唔記得我哋呀！,別忘了我們！
佢喺個演講比賽度攞咗冠軍。,她在演講比賽中取得了第一名。
等我哋停低諗一諗，原子能對我哋係有幾咁重要。,就讓我們停下來想一想，原子能對我們是多麼的重要。
我唔係特登㗎。,我不是故意的。
呢張相係咪最近影㗎？,這張照片是最近拍的嗎？
佢好似好寂寞噉。,她看起來很孤單。
我哋用咗萬二蚊嚟買呢架車。,我們花一萬二千元買了這輛車。
佢整唔見咗條車匙。,她把車鑰匙弄丟了。
我唔明。,我不明白。
你識唔識講英文？,你會說英語嗎？
我諗佢係聰明人嚟嘅。,我相信他是個聰明人。
你行得咁快，我跟唔到呀。,你走得這麼快，我跟不上呀。
你做咩喊呀？,你爲什麼哭？
佢阿哥大我兩歲。,他的哥哥比我大兩歲。
佢唔使咁心急。,她沒必要那麼急。
佢唔識分左右。,他分不清左右。
我仲以為佢會嚟開會添。,我還以為他會來開會。
佢過馬路嗰陣爭啲俾車撞。,他過馬路時差點被車撞。
幾時出發最方便你？,甚麼時候出發最方便你？
我永遠都唔會忘記你。,我永遠不會忘記你。
我諗我最好都係留喺呢度。,我想我最好留在這裏。
食多啲菜啦。,多喫點蔬菜。
我哋一粒聲都唔出噉坐咗喺度。,我們一言不發地坐著。
天主教係信耶穌嘅。,天主教徒信奉耶穌基督。
你知唔知呢個字點解呀？,您知道這個詞的意思嗎？
個會淨係得六個人去咗。,只有六人出席了會議。
呢個符號啫係話個答案啱咗。,這個符號代表答案正確。
廁所喺邊呀？,洗手間在哪裏？
我哋係兩公婆。,我們是夫婦。
我聽到佢把聲先至認得佢。,我聽到他的聲音以後才把他認出來了。
呢排啲女仔好興著牛仔褲。,現在女生穿牛仔褲很流行。
佢搶走晒我阿妹啲玩具。,他把我妹妹的玩具都搶走了。
我明你點解唔想去喇。,我明白你為甚麼不想去了。
唔好意思，我蕩失咗路。,不好意思，我迷路了。
你叫咩名呀？,你叫什麼名字？
今日我去咗睇牙醫。,今天我去看了牙醫。
你可唔可以講慢少少呀？,你可以說慢一點嗎？
你覺得有幾多人真係識欣賞音樂？,你覺得有多少人懂得欣賞音樂？
佢用十二秒就跑完一百米。,他可以用12秒跑100米。
我有一個阿哥同埋一個細妹。,我有一個哥哥和一個妹妹。
你話咩話？死咗？,你說什麼？死了？
去完廁所請洗手。,便後請洗手。
請問你喺邊到做嘢㗎？,請問你在哪裏工作？
油同水撈唔埋。,油和水不能混合。
受到佢哋嘅熱烈歡迎。,受到了他們的熱情歡迎。
你嚟咗上海幾耐喇？,你來上海多少時間了？
佢個阿哥上個月過咗身。,他的哥哥上個月去世了。
我行唔郁喇。,我走不動了。
仲喺度落緊雨呀？,還在下雨嗎？
呢個字有兩個意思。,這個字有兩個意思。
阿 John 淨係返咗一日學，就已經同班同學玩到熟晒。,約翰只上了一天的學，就和班上的同學都成了朋友。
學吓你家姐啦。,學學你姐姐。
你將個數字記熟咗未？,你把數字記熟了嗎？
熊貓係食竹嘅。,熊貓以竹為食。
佢哋一啲興趣都冇。,他們完全沒有興趣。
有好多女仔睇呢本小說睇到喊咗出嚟。,這本小說使無數女孩流下了眼淚。
唔好意思，失陪一陣。,不好意思，我失陪一下。
我好後悔去咗嗰度。,我後悔去過那裏。
攞你本字典出嚟查吓呢啲字啦。,用你的詞典查查這些生字吧。
我換咗窗簾之後，成間房睇落唔同晒。,我換了窗簾後，房間看起來不同了。
大家都準備好喇。,大家都準備好了。
我個新髮型會唔會好怪？,我的新髮型是不是很奇怪？
我突然間唔記得咗佢叫咩名。,我突然想不起她的名字。
佢俾人罰咗一萬円。,他被罰了1萬日元。
我遲啲再打俾你吖。,我遲點再打給你。
個男仔喺森林裏面蕩失咗路。,小男孩在森林中迷路了。
佢俾咗張佢呀媽學生時代嘅相我睇。,她給我看了一張她母親學生時代的照片。
你都唔揸車，要架車嚟做咩啫？,你根本不開車，有車又有甚麼用？
佢到咗嗰陣我會話你知。,她來到的時候我會通知你。
你最近忙唔忙呀？,你最近忙不忙？
你至少都講聲“多謝”啊。,你至少該說聲”謝謝“吧。
佢啲英文好過我。,他的英文比我好。
哈佬。,你好。
女人通常長命過男人。,女性通常比男性長壽。
你對鞋喺呢度。,你的鞋在這兒。
你仲有乜野要我幫忙吤？,你還有什麼要我幫忙嗎？
多謝。,謝謝你。
你識講上海話喎可？,你會說上海話嗎？
佢朝頭早七點起咗身。,她早上7點起牀。
唔好意思呀，我想問吓呢條路去唔去到地鐵站㗎？,不好意思，請問這條路通往地鐵站嗎？
佢話佢好鍾意花。,她說她很喜歡花。
我有好多朋友。,我有很多朋友。
你決定咗放假去邊度玩未？,你想好放假去哪裏玩了沒有？
呢個乜野嚟㗎。,這是什麼東西？
如果你想去美國讀書，就一定要申請張學生簽證先。,你想去美國讀書的話，一定要先申請一張學生簽證。
"多謝晒 ""唔使""","謝謝。 ""不用謝。"""
一、二、三、四、五、六、七、八、九、十。,一、二、三、四、五、六、七、八、九、十。
食咗飯未呀？,喫過了沒？
我有好多朋友。,我有好多朋友。
企喺窗口嗰個係咪你哋經理嚟㗎？,站在窗口的那個人是你們經理嗎？
天氣每日都喺度變緊。,天氣每天都在變。
呢啲資料未必可靠。,這些資料未必可靠。
嗰條裙睇落好似好貴噉。,那條裙子看起來很昂貴。
你應該同你阿爸阿媽傾吓先。,你應該先和你的父母談談。
我個肚喺度咕咕叫。,我的肚子在咕咕叫。
可唔可以舉幾個例子呀？,可以舉幾個例子嗎？
個責任應該由你嚟孭。,責任應該由你來負。
我真係唔知笑好定喊好。,我真是哭笑不得了。
阿 Tom 返咗鄉下。,湯姆回鄉下了。
唔好意思，你可唔可以講多次呀？,不好意思，你可以再說一次嗎？
佢哋好快就拉埋天窗喇。,他們很快就會結婚了。
呢啲古老嘅習俗都係一代一代噉傳落嚟嘅。,這些古老習俗都是一代一代相傳下來的。
唔好意思，我要走喇。,不好意思，我要走了。
我要去沖個涼。,我需要洗個澡。
佢唔係美國人。,他不是美國人。
我已經決定咗喇。,我已經決定好了。
我大咗肚四個月啦。,我懷孕四個月了。
你有無鉛筆喺度?,你身上有鉛筆嗎？
宇宙裏面係無空氣嘅。,宇宙裏是沒有空氣的。
我餓到成隻馬都食得落。,我餓得能喫下一匹馬。
我寫咗呢本書。,我寫了這本書。
你星期二得唔得閒呀？,你星期二有空嗎？
我唔會好似佢噉，喺你需要嗰陣離開你。,我不會像他那樣，在你需要的時候離開你。
加拿大大過日本。,加拿大比日本大。
希望你阿爸阿媽會俾我哋結婚啦。,希望你父母會讓我們結婚吧。
你係做錯咗，但係都唔可以怪你嘅。,你固然是錯了，但也不能怪你。
發展經濟重要啲吖，定係保護環境重要啲呀？,發展經濟和保護環境哪一個更重要?
我唔想再聽你喺度嫌三嫌四喇。,我不想再聽你抱怨了。
快啲啦，唔喺就miss咗班車嘞。,快一點，不然我們要錯過火車了。
佢同老婆嗌交冇問題，但係郁手打老婆就唔應該喇。,他和老婆吵架沒問題，但是動手打老婆就不應該了。
我好攰。,我很累。
多謝晒！,多謝！
「你鍾唔鍾意蛇㗎？」「梗係唔鍾意啦。」,“你喜歡蛇嗎？”“當然不喜歡。”
我好鍾意你。,我很愛你。
用英文寫情信好難寫得好。,用英文寫情信不容易寫得好。
我一返到屋企就打電話俾你吖。,我一回到家就打電話給你。
我哋噉對佢，好似唔係幾好。,我們這樣待他，好像不是太好。
你幾時返嚟呀？,你甚麼時候回來？
我買咗兩枝牛奶。,我買了兩瓶牛奶。
十二月係一年嘅最後一個月。,十二月是一年的最後一個月。
我已經三日無瞓過喇，真係攰到死呀！,我已經三天沒睡覺了，真是睏死了！
對我嚟講無咩分別。,對我來說沒甚麼分別。
呢本字典雖然好貴，但係都係值得買嘅。,這本字典雖然很貴，但還是值得買的。
聽講話你病咗喎。,聽說你病了。
如果你行路唔帶眼，一陣間你就會跌落水㗎喇。,如果你走路不看路，等一下你就會掉到水裡面。
啲風聲有啲恐怖，聽落好似鬼叫噉。,風聲有點恐怖，聽起來好像鬼叫一般。
我好鍾意食西瓜。,我很喜歡喫西瓜。
我嗰個年代啲學生好多都唔讀書，但係考試就唔會唔合格。,我那個年代的學生大多不讀書，但考試卻不會不合格。
我哋成日將人生比做一場旅程。,我們常常把人生比作一場旅程。
「&」呢個符號係「同埋」噉解。,「&」這個符號是「和」的意思。
愛迪生發明咗電燈膽。,愛迪生發明瞭電燈炮。
我哋學校有十班。,我們學校有十班。
喺呢度行到去車站要幾耐㗎？,從這裏步行到車站要多少時間？
中國大過日本好多。,中國比日本大得多。
嗰幅畫係印象派嘅大師級作品。,那幅畫是印象派的大師級作品。
唔該你叉咗啲俾咗錢嘅人嘅名吖。,麻煩你把付了錢的人的名字刪掉。
你可唔可以晏啲再打電話嚟呀？,你可以晚點再打電話來嗎？
仲有兩個禮拜就到聖誕節喇。,還有兩個星期就到聖誕節了。
他都成廿歲人喇，但係都仲係唔夠膽同女仔傾計。,他20歲了，但他還是怕和女生聊天。
大家都想坐喺佢隔籬。,大家都想坐在她旁邊。
佢由朝做到晚。,他從早上工作到夜晚。
啲屋狗竇咁亂我都頂得順，但係污糟嘅話我就接受唔到。,房子亂七八糟也沒問題，但是骯髒的話我接受不了。
佢唔識游水。,他不會游泳。
佢一開始讀嗰封信就喊咗出嚟。,她一開始讀那封信就哭了起來。
我唔鍾意飲咖啡。,我不喜歡喝咖啡。
我唔鍾意食煙，因為食煙對身體唔好。,我不喜歡吸煙，因為吸煙對身體不好。
我都係咁話。,我也這麼認爲。
啲白蘿蔔可能貴過啲紅蘿蔔。,白蘿蔔可能比紅蘿蔔貴。
佢好少寫信俾佢老豆。,他很少寫信給他父親。
唔好擺到你啲嘢周圍都係。,不要把你的東西四處亂放。
坐喺角落頭嗰個男人係邊個嚟㗎？,坐在角落的那個男人是誰？
葡萄酒嘅味道好受天氣影響。,葡萄酒的味道很受天氣影響。
好熱呀，我就嚟頂唔順喇。,好熱啊，我快受不了啦。
過咗差唔多十年，你都仲係同以前一樣咁靚。,過了差不多十年，你還是和以前一樣漂亮。
你一定要諗清楚你想做啲點嘅工。,你一定要考慮清楚你想做怎麼樣的工作。
你一般幾點放工？,你一般幾點下班？
你一般幾點收工？,你一般幾點下班？
你而家喺度做緊啲咩呀？,你現在在做什麼？
尋日我打電話嚟嗰陣，你喺度做緊啲咩呀？,昨天我打電話來的時候，你在幹什麼？
佢哋朝頭早嚟坐咗一陣，話晏晝就會離開上海喎。,他們上午來坐了一下，說下午就要離開上海。
你要乾洗定喺濕洗？,你要乾洗還是溼洗？
啲薯仔好平㗎。,土豆很便宜的。
就停架車喺呢度啦。,就在這兒停車吧。
你食唔食煙㗎？,你吸菸嗎？
我要寄啲錢俾我阿媽，可唔可以俾張寄款單我呀？,我要寄錢給我母親，給我一張寄款單好嗎？
大眾出租汽車公司個電話號碼幾多號呀？,大衆出租汽車公司的電話號碼是什麼？
今日幾忙都好，都要做埋呢啲嘢先走。,今天即使再忙，也要做完這些事情才走。
你點解要嚟我哋公司度見工？,你爲什麼要到我們公司來應聘？
你想去野生動物園就搭五號巴士啦。,你想去野生動物園就乘五號巴士吧。
嘩！咁抵？！,哇！真便宜啊！
我真係好想睇吓古代嘅世界係點嘅樣。,我真想看看古代的世界是怎樣的。
我哋喺地下掘咗個窿。,我們在地上掘了一個洞。
唔怪得佢咁嬲啦。,難怪他這麼生氣。
你有冇鉛筆呀？,你有鉛筆嗎？
好似就落雨囉噃。我哋閂埋啲窗啦。,好像快要下雨了。我們把窗關上吧。
嗰個男仔連自己個名都唔識寫。,那男孩連自己的名字也不會寫。
呢條裙都幾靚喎，可唔可以試著㗎？,這條裙子挺漂亮的，可以試穿嗎？
佢靜雞雞噉行出咗間房，冇人發現到佢。,他靜悄悄地走出了房間，誰也沒有發現。
我用一個字就計好咗條數。,我用五分鐘就算好了那道題。
跟住又有三個人上咗架巴士。,接著又有三個人上了巴士。
唔好意思呀，呢本書賣晒㗎喇。,不好意思，這本書已經賣完了。
你食唔食肉㗎？,您喫不喫肉？
呢間房唔俾食煙㗎。,這房間是禁止吸煙的。
我一行路，呢度就痛到好犀利。,我一走路，這裏就很痛。
佢除咗識彈琴，仲識彈結他添。,她除了懂得彈鋼琴，還懂得彈吉他。
佢識唔識彈琴㗎？,她會彈鋼琴嗎？
佢識唔識彈鋼琴㗎？,她會彈鋼琴嗎？
我諗佢要用兩粒鐘先至做得晒啲嘢。,我想他得花兩個小時才能把工作做完。
個花樽喺張枱度留低咗啲水跡。,花瓶在桌上留下了水跡。
佢企咗起身。,他站了起來。
下個禮拜一開學。,下週一開學。
你點睇而家啲後生仔呀？,你對於現在的年輕人有什麼看法？
我想同你傾吓個價。,我想和你談談價錢。
喺嗰度游緊水嗰個男仔係邊個嚟㗎？,在那邊游泳的男孩是誰？
而家已經十一點喇。我一定要走喇。,現在已經十一時了。我一定要走了。
雖然我失敗咗，但係我會試多一次嘅。,雖然我失敗了，但我會再試一次的。
呢朵係成個花園最靚嘅花。,這朵是整個花園最漂亮的花。
阿爸返到屋企嗰陣，我喺度睇緊電視。,爸爸回到家的時候，我正在看電視。
阿 Mary 唔知同佢講啲咩先好。,瑪莉不知道該和他說甚麼纔好。
呢間屋係我嘅。,這個房子是我的。
冇事，唔使驚!,沒事的，別害怕！
而家幾點鐘呀？,現在幾點鐘？
今日天氣幾凍㗎。,今天天氣挺冷的。
我哋聽日唔使返學。,我們明天不用上學。
我整壞咗亞當隻手錶，激到佢紮紮跳。,我把亞當的手錶弄壞了，氣得他七竅生煙。
你幾時先準備好出發呀？,你什麼時候纔會準備好出發？
你鍾唔鍾意我㗎？,你愛我嗎？
你譯呢本書譯咗幾耐呀？,你翻譯這本書用了多少時間？
我要同你講拜拜喇。,我要和你說再見了。
我唔俾你用我支鋼筆。,我不允許你用我的鋼筆。
我係唔講對唔住呀，你吹得我漲咩？,我就是不道歉，你奈我何？
佢冒住俾人拉同埋坐監嘅危險。,他冒着被逮捕和監禁的危險。
你知唔知佢識講英文㗎？,你知道她會說英語嗎？
你蕩失咗路呀？,你迷路了嗎？
佢唔似佢阿哥咁醒目。,他不像他的兄長那樣聰明。
佢有三個家姐。,他有三個姐姐。
你唔應該講大話。,你不該撒謊。
你唔應該講大話。,你不該說謊話。
唔好意思，我阿爸唔喺屋企。,不好意思，我爸爸不在家。
我喺呢度住咗卅年喇。,我在這裏住了三十年了。
佢哋用番梘洗手。,他們用肥皂洗手。
我想食啲嘢。,我想喫點東西。
個細路捉住咗隻貓條尾。,孩子抓住了貓的尾巴。
俾張白紙我吖。,給我一張白紙。
我哋可以繼續玩，唔好嘈到人就得喇。,我們可以繼續玩，別吵到別人就行了。
你應該去睇牙醫，掹咗隻牙佢。,你應該去看牙醫，把牙拔掉。
你點呀？,你好嗎？
你好嗎？,你好嗎？
我頂唔順呀！,我再也受不了了！
你高過我。,你比我高。
星期日係一個禮拜裏面嘅最後一日。,週日是一週的最後一天。
你點解唔信我呀？,你爲什麼不相信我？
你同我講緊嘢呀？,你在跟我說話嗎？
嗰本簿係邊個㗎？,那本筆記本是誰的？
佢好少寫信俾佢阿爸阿媽。,他很少寫信給他的父母。
你信又好，唔信又好，對我嚟講無咩分別。,你相信也好，不相信也好，對我來說沒有甚麼分別。
唔好唔記得聽日六點嚟搵我喎。,不要忘記明天6點來找我。
我哋個花園生滿晒雜草。,我們的花園佈滿了雜草。
條青瓜咁長嘅！,那條黃瓜多長啊！
我唔識分青蛙同埋癩蛤蟆。,我無法區分青蛙和蟾蜍。
我好攰。,我累了。
我送你返屋企啦。,我送你回家吧。
你睇吓你，食到成個口都係喇。,你看你，喫得滿嘴都是了。
佢晏咗起身。,她晚了起牀。
施比受更為有福。,施比受更有福。
你識唔識講意大利文㗎？,你會說義大利語嗎？
我本書點解會喺啲度嘅？,我的書爲什麼會在這裏？
我沖緊涼。,我正在洗澡。
你鍾意邊個牌子多啲?,你比較喜歡哪個牌子？
我係潮州人。,我是潮州人。
我鍾意睇電影。,我喜歡看電影。
我可唔可以睇一睇你張飛呀？,我能看一下您的票嗎？
係咪所有雀仔都識飛㗎？,所有鳥都會飛嗎？
我次次聽呢首歌都會聽到喊。,我每次聽這首歌都會聽到哭。
估下今日我撞到邊個！,猜猜看我今天遇見了誰。
我醒唔起我擺咗條鎖匙喺邊度。,我不記得我把鑰匙放在哪兒了。
你係咪諗住學英文呀？,你要學英語嗎?
佢應承咗阿媽話一定會喺九點之前返到屋企。,他答應媽媽一定會在九點前回到家。
佢發現咗個秘密。,他發現了這個祕密。
你後日得唔得閒呀？,你後天有空嗎？
我冇飛。,我沒有票。
唔晒唔該。,不客氣。
我哋係男人。,我們是男人。
佢而家開緊會。,他正在開會。
佢唔鍾意食魚。,他不喜歡喫魚。
佢唔識游水。,他不會游泳。
對唔住，啱啱嘅說話我收返。,對不起。我收回我的話。
我學嘢。,我學習。
佢喺海邊有間屋。,她在海邊有所房子。
你本書喺呢度。,你的書在這裏。
我將佢本字典還咗返俾佢。,我把她的字典還給她了。
我三日冇食嘢喇。,我三天沒喫東西了。
鈴木先生幾時離開日本呀？,鈴木先生何時離開日本?
佢就係我尋日見到嗰個人。,他就是我昨天看到的那個人。
你喺度諗緊啲咩呀？,你正在想什麼？
如果你得閒，我想請你飲杯咖啡。,"如果你有時間的話, 我想請你喝杯咖啡。"
泊咗喺嗰邊嗰架單車係我呀哥嘅。,那邊停著的那輛自行車是我哥哥的。
我哋買咗一磅茶。,我們買了一磅的茶。
噚日係我嘅生日。,昨天是我的生日。
飲少啲啤酒啦！,少喝點啤酒!
我倒瀉咗啲咖啡落張地毯度。,我把咖啡倒翻在地毯上了。
你咬我，我就咬返你。,如果你咬我，我就咬回來。
阿媽整咗啲芝士三文治俾我哋做午餐。,媽媽為我們做了乳酪三明治當午餐。
我阿爸每個禮拜都會俾啲零用錢我，我就會攞啲零用錢去買漫畫睇同埋買雪糕食。,我爸爸每週給我零用錢，我會用來買漫畫書和冰激凌。
你實係估都估唔到會喺啲噉嘅地方度撞到你個老師啦。,在那種地方碰到你的老師，你應該很驚訝吧。
死開！,走開！
彈開！,走開！
俾我睇吓。,讓我看看。
我想飲杯咖啡。,我想喝一杯咖啡。
有就有嘅，不過都幾遠吓個啵。,有是有的，不過遠了一點。
我聽日一定要記得去買嗰本書。,明天我一定要記得去買那一本書。
你做咩喊呀？,你為什麼哭？
阿Tom係個學生。,湯姆是個學生。
就嚟六點喇。,快要六點了。
佢問咗我一條問題。,他問了我一個問題。
唔該借你本書俾我吖。,請​​借我你的書。
我有一條好戇居嘅問題。,我有一個愚蠢的問題。
我會同你一齊去。,我會和你一起去。
生得靚仔有撚用咩！買嘢又唔可以用塊面嚟碌卡。,長的好看有個屁用呀? 買東西能用臉刷卡嗎?
嗰座橋好靚。,那座橋很漂亮。
中國有日本二十倍咁大。,中國是日本的20倍大。
出去之前記住熄晒啲燈佢喎。,出去之前確認一下所有的燈都關了。
佢唔認打爛咗度窗。,他否認打破了窗口。
我可唔可以借你架單車嚟用吓呀？,我能借一下您的自行車嗎？
你今朝覺得點?,你今天早上感覺如何？
佢介紹咗我俾佢細佬識。,她把我介紹給她的弟弟認識。
聽講佢愛上咗佢。,據說她愛他。
屌你老母。,操你媽。
可唔可以俾多支啤酒我呀？,再給我一瓶啤酒好嗎？
佢阿哥坐巴士返學。,他哥哥搭公車去學校。
佢嘅英文好過我。,她的英文比我好。
佢嘅母語係法文。,她的母語是法語。
京都冇大阪咁大。,京都不如大阪大。
你鍾唔鍾意落雨㗎？,你喜歡下雨嗎？
你可唔可以車我去醫院呀？,你可以載我去醫院嗎?
個董事長喺公司有少少地位，就以為自己好巴閉。,那個董事長在公司有少許地位就以爲自己很厲害。
佢鍾意淺色啲嘅綠色。,他喜歡比較淺的綠色。
呢個唔貴。,這個不貴。
你可以等啲雪停咗先走。,你可以等到雪停了再走。
我分唔清佢同佢個細佬。,我分不清他和他的弟弟。
你買咗本點樣樣嘅書呀？,你買了本什麼樣的書？
嗰Concert嘛嘛哋。,音樂會不怎麼樣。
今日好凍。,今天很冷。
唔好喊啦。我愛你呀。,不要哭。我愛你。
佢睇緊書。,他在看書。
佢食緊飯。,他在喫飯。
你而家可以入去喇。,現在你可以進去了。
所以我咪叫你唔好一個人去囉。,所以我叫你不要一個人去咯。
唔該你叫我起身食早餐吖。,麻煩你叫我起牀喫早餐啦。
佢就係喺呢間屋度出世㗎喇。,他就是在這間屋子裏出生的。
阿雲比佢妹妹靚。,雲比她的妹妹漂亮。
小燕靚過以前。,小燕比以前漂亮。
你件恤衫粒鈕就嚟甩喇。,你襯衣的紐扣快掉了。
點解你琴晚冇打電話畀我嘅？,怎麼你昨晚沒有給我打電話？
今日好可能會落雨。,今天很可能會下雨。
佢學緊游水。,她在學游泳。
我唔係魔術師。,我不是魔法師。
佢成日都開夜車。,他老是開夜車。
唔好攞把刀嚟切蛋糕。,別用刀子來切蛋糕。
聽日之前一定要做晒啲嘢佢。,明日之前必須把工作做完.
你話佢幾多歲吖嗱？,你認爲她多大？
我尋晚寫咗一封信。,我昨晚寫了一封信。
你係唯一一個幫到我嘅人。,你是唯一一個能夠幫我的人。
佢係俄羅斯人。,她是俄羅斯人。
我有小小感動。,我有點兒感動。
我有啲感動。,我有點兒感動。
你識唔識拉小提琴㗎？,你會拉小提琴嗎？
我都想知!,我也想知道。
你做乜喵喵叫?,你為甚麼喵喵叫?
嗰座係塔嚟嘅。,那是一座塔。
「呢張櫈邊個㗎？」「我㗎。」,「這張椅子是誰的？」「是我的。」
我本書喺邊?,我的書在哪？
佢哋對天文學好有興趣。,他們對天文學十分感興趣。
車站就喺呢度附近。,車站就在這裏附近。
留啲雪糕俾我。,給我留點冰激凌。
搞咩呀你？,你到底怎麼了啊？
拜拜！,拜拜！
我係一隻狗。,我是一隻狗。
你同我落嚟！,你給我下來！
關我撚事咩。,關我鳥事啊。
乜撚嘢嚟㗎？,什麼鳥東西來的？
咦，押韻喎！,咦，押韻喔！
我鍾意呢隻狗。,我喜歡這隻狗。
睇吓！廚房到有一隻貓。,看看！廚房裏有一隻貓。
佢應該可以同我奶奶相處得來,她應該能跟我奶奶相處得來。
佢相信佢個仔仲在生。,她相信自己的兒子還活着。
你想唔想同我一齊食午餐？,你想和我一起喫午餐嗎？
佢老公宜家喺東京生活。,她丈夫現在在東京生活。
佢喺第一個幫佢嘅人。,他是第一個幫她的人。
今日我行咗十公里。,今天我走了10公里。
你識拉丁語？,您懂拉丁語？
生日快樂！,生日快樂！
好對唔住咁早打電話比你添。,對不起我那麼早打電話給你啊。
我寄咗呢封信比阿爺爺。,我把這封信寄給爺爺了。
佢提出咗個問題。,他提了個問題。
我搵緊眼鏡呀。,我在找我的眼鏡呀。
我而家做乜好呢？,我現在應該做什麼呢？
我三月廿二生日。,我三月二十二號生日。
我唔怕死。,我不怕死。
今日好熱呀。,今天很熱了。
呢隻係馬嚟㗎。,這只是馬。
我好擔心做唔做得好呢份新工呀。,我很擔心我作這份新工作就不會做得好。
嗰啲人做緊乜呀？,那些人在幹什麼？
每天最舒服嘅時光，就係攤喺床上面。,每天最舒服的時候就是躺在牀上面。
到咗未？,到了嗎？
尋晚行雷閃電。,昨晚打雷閃電。
洛杉磯係我想去嘅其中一個地方。,洛杉磯是我想去的其中一個地方。
唔好喺背後講人壞話。,不要在背後說人壞話。
揀好未呀?,選好沒有啊？
佢哋話我係老女人。,他們說我是老女人。
你抌晒啲錢落海都好過借錢俾佢啦。,你把錢扔到海里都比借給他強啦。
我部相機靚過你嗰部好多。,我的相機比你的好多了。
點解你唔早講呀？,你怎麼不早說啊？
呢把刀好利。,這把刀好鋒利。
如果我識飛就好喇！,如果我會飛就好啦！
啲飛一個禮拜都唔使就賣晒喇。,那些票一個禮拜不到就全賣完了。
嘩，真係唔講唔知喎。,哇，不說真是不知道啊！
攰死人喇！,累死我啦！
我以為呢度俾食煙嘅添。,我還以爲這裏可以吸菸呢。
你屋企定我屋企？,你家還是我家？
如果佢諗住公司會畀佢五日嘅有薪假期，咁佢就要失望喇。,如果他以爲公司會給他五天帶薪假期，那他就要失望了。
